date,symbol,company,indices,sector,beta_nifty,beta_sensex,beta_banknifty,alpha_annual,r_squared,volatility_annual,return_1yr,risk_category
2026-08-18,ADANIENT.NS,ADANIENT,NIFTY 50,Metals & Mining / Energy,1.5865,1.4918,,0.4169,0.3711,0.3414,0.292,High Volatility (> 1.2)
2026-08-18,ADANIPORTS.BO,ADANIPORTS,"NIFTY 50, SENSEX 30",Services / Logistics,1.3657,1.3191,,0.3653,0.4386,0.2703,0.2777,High Volatility (> 1.2)
2026-08-18,ADANIPORTS.NS,ADANIPORTS,"NIFTY 50, SENSEX 30",Services / Logistics,1.3661,1.3165,,0.3609,0.437,0.2709,0.2734,High Volatility (> 1.2)
2026-08-18,APOLLOHOSP.NS,APOLLOHOSP,NIFTY 50,Healthcare / Pharma,0.5213,0.4974,,0.1628,0.146,0.1789,0.1311,Defensive / Low Beta (< 0.8)
2026-08-18,ASIANPAINT.BO,ASIANPAINT,"NIFTY 50, SENSEX 30",Consumer Durables,0.0091,0.0074,,-0.0188,0.0039,0.0191,-0.019,Defensive / Low Beta (< 0.8)
2026-08-18,ASIANPAINT.NS,ASIANPAINT,"NIFTY 50, SENSEX 30",Consumer Durables,0.9939,0.967,,0.0743,0.2985,0.2385,0.023,Market-Like (0.8 - 1.2)
2026-08-18,AUBANK.NS,AUBANK,Bank Nifty,Financial Services,1.2097,1.2088,1.1422,0.5168,0.2894,0.2948,0.4136,High Volatility (> 1.2)
2026-08-18,AXISBANK.BO,AXISBANK,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,1.186,1.1665,1.0627,0.2179,0.4342,0.236,0.1546,Market-Like (0.8 - 1.2)
2026-08-18,AXISBANK.NS,AXISBANK,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,1.2177,1.186,1.0885,0.2158,0.4437,0.2397,0.1509,High Volatility (> 1.2)
2026-08-18,BAJAJ-AUTO.NS,BAJAJ-AUTO,NIFTY 50,Automobile & Auto Components,0.8535,0.7744,,0.4323,0.2437,0.2267,0.3685,Market-Like (0.8 - 1.2)
2026-08-18,BAJAJFINSV.BO,BAJAJFINSV,"NIFTY 50, SENSEX 30",Financial Services,1.2873,1.2713,,0.0699,0.486,0.2421,0.0118,High Volatility (> 1.2)
2026-08-18,BAJAJFINSV.NS,BAJAJFINSV,"NIFTY 50, SENSEX 30",Financial Services,1.2922,1.2608,,0.0649,0.5003,0.2395,0.0077,High Volatility (> 1.2)
2026-08-18,BAJFINANCE.BO,BAJFINANCE,"NIFTY 50, SENSEX 30",Financial Services,-0.0185,-0.015,,0.0395,0.0039,0.0389,0.0388,Inverse Beta (< 0.0)
2026-08-18,BAJFINANCE.NS,BAJFINANCE,"NIFTY 50, SENSEX 30",Financial Services,1.5023,1.5046,,0.3111,0.4226,0.303,0.2127,High Volatility (> 1.2)
2026-08-18,BANKBARODA.NS,BANKBARODA,Bank Nifty,Financial Services,1.3204,1.2544,1.19,0.1086,0.3925,0.2763,0.0381,High Volatility (> 1.2)
2026-08-18,BEL.BO,BEL,"NIFTY 50, SENSEX 30",Capital Goods / Defense,-0.0039,-0.0032,,0.0082,0.0039,0.0082,0.0082,Inverse Beta (< 0.0)
2026-08-18,BEL.NS,BEL,"NIFTY 50, SENSEX 30",Capital Goods / Defense,0.8618,0.8089,,0.1387,0.2016,0.2516,0.0834,Market-Like (0.8 - 1.2)
2026-08-18,BHARTIARTL.BO,BHARTIARTL,"NIFTY 50, SENSEX 30",Telecommunication,0.5895,0.5861,,0.0755,0.1638,0.1909,0.043,Defensive / Low Beta (< 0.8)
2026-08-18,BHARTIARTL.NS,BHARTIARTL,"NIFTY 50, SENSEX 30",Telecommunication,0.6078,0.5921,,0.0731,0.1702,0.1932,0.0399,Defensive / Low Beta (< 0.8)
2026-08-18,CANBK.NS,CANBK,Bank Nifty,Financial Services,1.4065,1.3611,1.2476,0.314,0.4051,0.2897,0.2222,High Volatility (> 1.2)
2026-08-18,CIPLA.NS,CIPLA,NIFTY 50,Healthcare / Pharma,0.619,0.5692,,-0.045,0.1481,0.2109,-0.077,Defensive / Low Beta (< 0.8)
2026-08-18,COALINDIA.NS,COALINDIA,NIFTY 50,"Oil, Gas & Consumable Fuels",0.2093,0.1523,,0.1561,0.015,0.2243,0.1218,Defensive / Low Beta (< 0.8)
2026-08-18,DRREDDY.NS,DRREDDY,NIFTY 50,Other / Diversified,0.5137,0.4476,,-0.021,0.0813,0.2362,-0.0572,Defensive / Low Beta (< 0.8)
2026-08-18,EICHERMOT.NS,EICHERMOT,NIFTY 50,Automobile & Auto Components,1.269,1.218,,0.4676,0.3888,0.2668,0.3768,High Volatility (> 1.2)
2026-08-18,ETERNAL.NS,ETERNAL,NIFTY 50,Other / Diversified,1.4041,1.3605,,0.0963,0.3079,0.3317,0.0083,High Volatility (> 1.2)
2026-08-18,FEDERALBNK.NS,FEDERALBNK,Bank Nifty,Financial Services,0.9663,0.9258,0.8706,0.953,0.2488,0.254,0.8458,Market-Like (0.8 - 1.2)
2026-08-18,GRASIM.NS,GRASIM,NIFTY 50,Construction Materials,1.102,1.0007,,0.2139,0.4119,0.2251,0.1558,Market-Like (0.8 - 1.2)
2026-08-18,HCLTECH.BO,HCLTECH,"NIFTY 50, SENSEX 30",Information Technology,0.8008,0.816,,-0.0417,0.1404,0.2802,-0.0934,Market-Like (0.8 - 1.2)
2026-08-18,HCLTECH.NS,HCLTECH,"NIFTY 50, SENSEX 30",Information Technology,0.8159,0.8195,,-0.0356,0.1434,0.2824,-0.0885,Market-Like (0.8 - 1.2)
2026-08-18,HDFCBANK.BO,HDFCBANK,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,0.0554,0.0449,0.0142,-0.1093,0.0039,0.1164,-0.1159,Defensive / Low Beta (< 0.8)
2026-08-18,HDFCBANK.NS,HDFCBANK,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,1.2542,1.2588,1.0182,-0.2324,0.6296,0.2072,-0.2661,High Volatility (> 1.2)
2026-08-18,HDFCLIFE.NS,HDFCLIFE,NIFTY 50,Other / Diversified,0.9103,0.8502,,-0.2894,0.2957,0.2195,-0.3171,Market-Like (0.8 - 1.2)
2026-08-18,HINDALCO.NS,HINDALCO,NIFTY 50,Metals & Mining,0.7632,0.6506,,0.5543,0.1277,0.2801,0.4667,Defensive / Low Beta (< 0.8)
2026-08-18,HINDUNILVR.BO,HINDUNILVR,"NIFTY 50, SENSEX 30",Fast Moving Consumer Goods,0.0226,0.0183,,-0.0462,0.0039,0.0475,-0.0473,Defensive / Low Beta (< 0.8)
2026-08-18,HINDUNILVR.NS,HINDUNILVR,"NIFTY 50, SENSEX 30",Fast Moving Consumer Goods,0.7227,0.7063,,-0.1631,0.1914,0.2166,-0.1933,Defensive / Low Beta (< 0.8)
2026-08-18,ICICIBANK.BO,ICICIBANK,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,0.0086,0.0069,0.0022,-0.0177,0.0039,0.018,-0.0179,Defensive / Low Beta (< 0.8)
2026-08-18,ICICIBANK.NS,ICICIBANK,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,0.9507,0.9375,0.8228,0.0311,0.4279,0.1905,-0.007,Market-Like (0.8 - 1.2)
2026-08-18,IDFCFIRSTB.NS,IDFCFIRSTB,Bank Nifty,Financial Services,1.2724,1.2387,1.0644,0.3162,0.2889,0.3103,0.2186,High Volatility (> 1.2)
2026-08-18,INDIGO.NS,INDIGO,NIFTY 50,Other / Diversified,1.8566,1.7983,,-0.0618,0.5186,0.338,-0.1459,High Volatility (> 1.2)
2026-08-18,INDUSINDBK.NS,INDUSINDBK,Bank Nifty,Financial Services,1.4359,1.3868,1.1438,0.3823,0.4318,0.2865,0.2857,High Volatility (> 1.2)
2026-08-18,INFY.BO,INFY,"NIFTY 50, SENSEX 30",Information Technology,-0.0083,-0.0067,,0.0175,0.0039,0.0174,0.0174,Inverse Beta (< 0.0)
2026-08-18,INFY.NS,INFY,"NIFTY 50, SENSEX 30",Information Technology,0.7886,0.7997,,-0.1459,0.1185,0.3003,-0.1953,Defensive / Low Beta (< 0.8)
2026-08-18,ITC.BO,ITC,"NIFTY 50, SENSEX 30",Fast Moving Consumer Goods,0.0167,0.0135,,-0.0343,0.0039,0.0351,-0.0349,Defensive / Low Beta (< 0.8)
2026-08-18,ITC.NS,ITC,"NIFTY 50, SENSEX 30",Fast Moving Consumer Goods,0.6206,0.6175,,-0.2817,0.1722,0.1961,-0.3025,Defensive / Low Beta (< 0.8)
2026-08-18,JIOFIN.NS,JIOFIN,NIFTY 50,Other / Diversified,1.579,1.5145,,-0.1973,0.5608,0.2764,-0.2503,High Volatility (> 1.2)
2026-08-18,JSWSTEEL.BO,JSWSTEEL,"NIFTY 50, SENSEX 30",Metals & Mining,1.1576,1.0885,,0.2479,0.4219,0.2337,0.1841,Market-Like (0.8 - 1.2)
2026-08-18,JSWSTEEL.NS,JSWSTEEL,"NIFTY 50, SENSEX 30",Metals & Mining,1.1706,1.0961,,0.2417,0.4344,0.2328,0.1782,Market-Like (0.8 - 1.2)
2026-08-18,KOTAKBANK.BO,KOTAKBANK,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,0.0001,0.0,0.0,-0.0001,0.0039,0.0001,-0.0001,Defensive / Low Beta (< 0.8)
2026-08-18,KOTAKBANK.NS,KOTAKBANK,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,1.043,1.0375,0.8229,0.0126,0.4377,0.2067,-0.0296,Market-Like (0.8 - 1.2)
2026-08-18,LT.BO,LT,"NIFTY 50, SENSEX 30",Construction / Infrastructure,-0.0321,-0.026,,0.0694,0.0039,0.0675,0.0672,Inverse Beta (< 0.0)
2026-08-18,LT.NS,LT,"NIFTY 50, SENSEX 30",Construction / Infrastructure,1.4078,1.3782,,0.1996,0.556,0.2475,0.1292,High Volatility (> 1.2)
2026-08-18,M&M.BO,M&M,"NIFTY 50, SENSEX 30",Automobile & Auto Components,-0.0365,-0.0296,,0.0793,0.0039,0.0768,0.0765,Inverse Beta (< 0.0)
2026-08-18,M&M.NS,M&M,"NIFTY 50, SENSEX 30",Automobile & Auto Components,1.4529,1.4319,,0.0923,0.4619,0.2803,0.0193,High Volatility (> 1.2)
2026-08-18,MARUTI.NS,MARUTI,"NIFTY 50, SENSEX 30",Automobile & Auto Components,1.0589,1.0439,,0.0352,0.3643,0.23,-0.0134,Market-Like (0.8 - 1.2)
2026-08-18,MAXHEALTH.NS,MAXHEALTH,NIFTY 50,Other / Diversified,0.7516,0.7017,,-0.1209,0.1452,0.2586,-0.1616,Defensive / Low Beta (< 0.8)
2026-08-18,NESTLEIND.BO,NESTLEIND,"NIFTY 50, SENSEX 30",Fast Moving Consumer Goods,-0.0113,-0.0092,,0.024,0.0039,0.0238,0.0237,Inverse Beta (< 0.0)
2026-08-18,NESTLEIND.NS,NESTLEIND,"NIFTY 50, SENSEX 30",Fast Moving Consumer Goods,0.5458,0.5003,,0.3312,0.1293,0.199,0.2882,Defensive / Low Beta (< 0.8)
2026-08-18,NTPC.BO,NTPC,"NIFTY 50, SENSEX 30",Power & Utilities,0.5221,0.4649,,0.0647,0.1278,0.1914,0.034,Defensive / Low Beta (< 0.8)
2026-08-18,NTPC.NS,NTPC,"NIFTY 50, SENSEX 30",Power & Utilities,0.5405,0.4766,,0.0623,0.1375,0.1911,0.0314,Defensive / Low Beta (< 0.8)
2026-08-18,ONGC.NS,ONGC,NIFTY 50,"Oil, Gas & Consumable Fuels",0.0361,-0.0286,,0.0868,0.0004,0.2335,0.0566,Defensive / Low Beta (< 0.8)
2026-08-18,PNB.NS,PNB,Bank Nifty,Financial Services,1.3462,1.2914,1.1984,0.203,0.4159,0.2737,0.1261,High Volatility (> 1.2)
2026-08-18,POWERGRID.BO,POWERGRID,"NIFTY 50, SENSEX 30",Power & Utilities,0.434,0.3913,,-0.0179,0.0798,0.2014,-0.0457,Defensive / Low Beta (< 0.8)
2026-08-18,POWERGRID.NS,POWERGRID,"NIFTY 50, SENSEX 30",Power & Utilities,0.4517,0.3987,,-0.0198,0.0865,0.2013,-0.0479,Defensive / Low Beta (< 0.8)
2026-08-18,RELIANCE.BO,RELIANCE,"NIFTY 50, SENSEX 30","Oil, Gas & Consumable Fuels",0.0008,0.0006,,-0.0016,0.0039,0.0016,-0.0016,Defensive / Low Beta (< 0.8)
2026-08-18,RELIANCE.NS,RELIANCE,"NIFTY 50, SENSEX 30","Oil, Gas & Consumable Fuels",0.8984,0.899,,-0.0012,0.3344,0.2037,-0.0393,Market-Like (0.8 - 1.2)
2026-08-18,SBILIFE.NS,SBILIFE,NIFTY 50,Other / Diversified,0.8368,0.7845,,-0.0075,0.3074,0.1979,-0.043,Market-Like (0.8 - 1.2)
2026-08-18,SBIN.BO,SBIN,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,-0.0054,-0.0044,-0.0014,0.0114,0.0039,0.0114,0.0114,Inverse Beta (< 0.0)
2026-08-18,SBIN.NS,SBIN,"NIFTY 50, Bank Nifty, SENSEX 30",Financial Services,1.0612,1.0316,0.9684,0.3649,0.3633,0.2308,0.2977,Market-Like (0.8 - 1.2)
2026-08-18,SHRIRAMFIN.NS,SHRIRAMFIN,NIFTY 50,Financial Services,1.9809,1.9133,,0.9885,0.5374,0.3543,0.7861,High Volatility (> 1.2)
2026-08-18,SUNPHARMA.BO,SUNPHARMA,"NIFTY 50, SENSEX 30",Healthcare / Pharma,0.0139,0.0113,,-0.0287,0.0039,0.0292,-0.0291,Defensive / Low Beta (< 0.8)
2026-08-18,SUNPHARMA.NS,SUNPHARMA,"NIFTY 50, SENSEX 30",Healthcare / Pharma,0.4847,0.4611,,0.1972,0.1106,0.191,0.1626,Defensive / Low Beta (< 0.8)
